be	[ bi ] was	[ wɒz ] been	[ biːn ]	быть
bear	[ beə ]	bore	[ bɔː ]	born	[ bɔːn ]	нести, родить
flee	[ fliː ]	fled	[ fled ]	fled	[ fled ]	бежать, спасаться
fly	[ flaɪ ]	flew	[ fluː ]	flown	[ fləʊn ]	летать
forbid	[ fəˈbɪd ]	forbad	[ fəˈbæd ]	forbidden	[ fəˈbɪdən ]	запретить
foresee	[ fɔːˈsiː ]	foresaw	[ fɔːˈsɔː ]	foreseen	[ fɔːˈsiːn ]	предвидеть
foretell	[ fɔːˈtel ]	foretold	[ fɔːˈtəʊld ]	foretold	[ fɔːˈtəʊld ]	предсказывать
forget	[ fəˈɡet ]	forgot	[ fəˈɡɒt ]	forgotten	[ fəˈɡɒtən ]	забыть
forgive	[ fəˈɡɪv ]	forgave	[ fəˈɡeɪv ]	forgiven	[ fəˈɡɪvən ]	простить
freeze	[ friːz ]	froze	[ frəʊz ]	frozen	[ ˈfrəʊzən ]	замерзнуть, замораживать
get	[ ˈɡet ]	got	[ ˈɡɒt ]	got	[ ˈɡɒt ]	получить
give	[ ɡɪv ]	gave	[ ɡeɪv ]	given	[ ɡɪvən ]	дать
go	[ ɡəʊ ]	went	[ ˈwent ]	gone	[ ɡɒn ]	идти, уходить
grind	[ ɡraɪnd ]	ground	[ ɡraʊnd ]	ground	[ ɡraʊnd ]	точить, молоть
grow	[ ɡrəʊ ]	grew	[ ɡruː ]	grown	[ ɡrəʊn ]	расти
hang	[ hæŋ ]	hung	[ hʌŋ ]	hung	[ hʌŋ ]	висеть, повесить
have	[ hæv ]	had	[ hæd ]	had	[ hæd ]	иметь
hear	[ hɪə ]	heard	[ hɜːd ]	heard	[ hɜːd ]	слушать
hide	[ haɪd ]	hid	[ hɪd ]	hidden	[ ˈhɪdən ]	прятать(ся)
hit	[ hɪt ]	hit	[ hɪt ]	hit	[ hɪt ]	ударить, попасть
hold	[ həʊld ]	held	[ held ]	held	[ held ]	держать
hurt	[ hɜːt ]	hurt	[ hɜːt ]	hurt	[ hɜːt ]	причинить боль
keep	[ kiːp ]	kept	[ kept ]	kept	[ kept ]	хранить
know	[ nəʊ ]	knew	[ njuː ]	known	[ nəʊn ]	знать
lay	[ leɪ ]	laid	[ leɪd ]	laid	[ leɪd ]	класть, положить
lead	[ liːd ]	led	[ led ]	led	[ led ]	вести
learn	[ lɜːn ]	learnt	[ lɜːnt ]	learnt	[ lɜːnt ]	учить
leave	[ liːv ]	left	[ left ]	left	[ left ]	оставить
lend	[ lend ]	lent	[ lent ]	lent	[ lent ]	одолжить
let	[ let ]	let	[ let ]	let	[ let ]	пустить, дать
lie	[ laɪ ]	lay	[ leɪ ]	lain	[ leɪn ]	лежать
light	[ laɪt ]	lit	[ lɪt ]	lit	[ lɪt ]	осветить
lose	[ luːz ]	lost	[ lɒst ]	lost	[ lɒst ]	терять
make	[ ˈmeɪk ]	made	[ ˈmeɪd ]	made	[ ˈmeɪd ]	делать
mean	[ miːn ]	meant	[ ment ]	meant	[ ment ]	подразумевать
meet	[ miːt ]	met	[ met ]	met	[ met ]	встретить
mistake	[ mɪˈsteɪk ]	mistook	[ mɪˈstʊk ]	mistaken	[ mɪˈsteɪkən ]	неправильно понимать
misunderstand	[ ˌmɪsˌʌndəˈstænd ]	misunderstood	[ ˌmɪsˌʌndəˈstʊd ]	misunderstood	[ ˌmɪsˌʌndəˈstʊd ]	неправильно понимать
overcome	[ ˌəʊvəˈkʌm ]	overcame	[ ˌəʊvəˈkeɪm ]	overcome	[ ˌəʊvəˈkʌm ]	преодолевать
pay	[ peɪ ]	paid	[ peɪd ]	paid	[ peɪd ]	платить
put	[ ˈpʊt ]	put	[ ˈpʊt ]	put	[ ˈpʊt ]	класть
read	[ riːd ]	read	[ red ]	read	[ red ]	читать
ride	[ raɪd ]	rode	[ rəʊd ]	ridden	[ ˈrɪdən ]	ездить верхом
ring	[ rɪŋ ]	rang	[ ræŋ ]	rung	[ rʌŋ ]	звонить
rise	[ raɪz ]	rose	[ rəʊz ]	risen	[ ˈrɪzən ]	подняться
run	[ rʌn ]	ran	[ ræn ]	run	[ rʌn ]	бежать, течь
saw	[ ˈsɔː ]	sawed	[ ˈsɔːd ]	sawn	[ sɔːn ]	пилить
say	[ ˈseɪ ]	said	[ ˈsed ]	said	[ ˈsed ]	говорить, сказать
see	[ ˈsiː ]	saw	[ ˈsɔː ]	seen	[ ˈsiːn ]	видеть
seek	[ siːk ]	sought	[ ˈsɔːt ]	sought	[ ˈsɔːt ]	искать
sell	[ sel ]	sold	[ səʊld ]	sold	[ səʊld ]	продавать
send	[ send ]	sent	[ sent ]	sent	[ sent ]	послать
set	[ set ]	set	[ set ]	set	[ set ]	устанавливать
sew	[ səʊ ]	sewed	[ səʊd ]	sewed	[ səʊd ]	шить
shake	[ ʃeɪk ]	shook	[ ʃʊk ]	shaken	[ ˈʃeɪkən ]	трясти
shine	[ ʃaɪn ]	shone	[ ʃɒn ]	shone	[ ʃɒn ]	светить, сиять
shoot	[ ʃuːt ]	shot	[ ʃɒt ]	shot	[ ʃɒt ]	стрелять, давать побеги
show	[ ʃəʊ ]	showed	[ ʃəʊd ]	shown	[ ʃəʊn ]	показывать
shrink	[ ʃrɪŋk ]	shrank	[ ʃræŋk ]	shrunk	[ ʃrʌŋk ]	сокращаться, сжиматься
shut	[ ʃʌt ]	shut	[ ʃʌt ]	shut	[ ʃʌt ]	закрывать
sing	[ sɪŋ ]	sang	[ sæŋ ]	sung	[ sʌŋ ]	петь
sink	[ sɪŋk ]	sank	[ sæŋk ]	sunk	[ sʌŋk ]	тонуть
sit	[ sɪt ]	sat	[ sæt ]	sat	[ sæt ]	сидеть
slay	[ sleɪ ]	slew	[ sluː ]	slain	[ sleɪn ]	убивать
sleep	[ sliːp ]	slept	[ slept ]	slept	[ slept ]	спать
slide	[ slaɪd ]	slid	[ slɪd ]	slid	[ slɪd ]	скользить
smell	[ smel ]	smelt	[ smelt ]	smelt	[ smelt ]	пахнуть, нюхать
speak	[ spiːk ]	spoke	[ spəʊk ]	spoken	[ ˈspəʊkən ]	говорить
spend	[ spend ]	spent	[ spent ]	spent	[ spent ]	тратить, проводить
spit	[ spɪt ]	spat	[ spæt ]	spat	[ spæt ]	плевать
split	[ splɪt ]	split	[ splɪt ]	split	[ splɪt ]	расщепить
spread	[ spred ]	spread	[ spred ]	spread	[ spred ]	распространяться
spring	[ sprɪŋ ]	sprang	[ spræŋ ]	sprung	[ sprʌŋ ]	скакать, пружинить
stand	[ stænd ]	stood	[ stʊd ]	stood	[ stʊd ]	стоять
steal	[ stiːl ]	stole	[ stəʊl ]	stolen	[ ˈstəʊlən ]	украсть
stick	[ stɪk ]	stuck	[ stʌk ]	stuck	[ stʌk ]	уколоть, приклеить
sting	[ stɪŋ ]	stung	[ stʌɡ ]	stung	[ stʌɡ ]	ужалить
stink	[ stɪŋk ]	stank	[ stæŋk ]	stunk	[ stʌŋk ]	вонять
strike	[ straɪk ]	struck	[ strʌk ]	struck	[ strʌk ]	ударить, бить, бастовать
strive	[ straɪv ]	strove	[ strəʊv ]	striven	[ ˈstrɪvən ]	стараться
swear	[ sweə ]	swore	[ swɔː ]	sworn	[ swɔːn ]	клясться, браниться
sweep	[ swiːp ]	swept	[ swept ]	swept	[ swept ]	мести, промчаться
swim	[ swɪm ]	swam	[ swæm ]	swum	[ swʌm ]	плыть
swing	[ swɪŋ ]	swung	[ swʌŋ ]	swung	[ swʌŋ ]	качаться
take	[ teɪk ]	took	[ tʊk ]	taken	[ ˈteɪkən ]	взять, брать
teach	[ tiːtʃ ]	taught	[ tɔːt ]	taught	[ tɔːt ]	учить
tear	[ ˈteə ]	tore	[ ˈtɔː ]	torn	[ ˈtɔːn ]	рвать
tell	[ tel ]	told	[ təʊld ]	told	[ təʊld ]	рассказывать, сказать
think	[ ˈθɪŋk ]	thought	[ ˈθɔːt ]	thought	[ ˈθɔːt ]	думать
throw	[ ˈθrəʊ ]	threw	[ θruː ]	thrown	[ ˈθrəʊn ]	бросить
tread	[ tred ]	trod	[ trɒd ]	trod	[ trɒd ]	ступать
understand	[ ˌʌndəˈstænd ]	understood	[ ˌʌndəˈstʊd ]	understood	[ ˌʌndəˈstʊd ]	понимать
wake	[ weɪk ]	woke	[ wəʊk ]	woken	[ ˈwəʊkən ]	просыпаться, будить
wear	[ weə ]	wore	[ wɔː ]	worn	[ wɔːn ]	носить (одежду)
weep	[ wiːp ]	wept	[ wept ]	wept	[ wept ]	плакать
wet	[ wet ]	wet	[ wet ]	wet	[ wet ]	мочить, увлажнять
win	[ wɪn ]	won	[ wʌn ]	won	[ wʌn ]	выиграть
wind	[ waɪnd ]	wound	[ waund ]	wound	[ waund ]	заводить (механизм)
withdraw	[ wɪðˈdrɔː ]	withdrew	[ wɪðˈdruː ]	withdrawn	[ wɪðˈdrɔːn ]	взять назад, отозвать
withstand	[ wɪðˈstænd ]	withstood	[ wɪðˈstʊd ]	withstood	[ wɪðˈstʊd ]	противиться
write	[ ˈraɪt ]	wrote	[ rəʊt ]	written	[ ˈrɪtən ]	писать
